date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20Mar%202024%2019:51:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Slovenia/www.googletagmanager.com/gtm.f5445.delayed	(from https://sz-vit.si/)
20:51:03	6123/6123	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Dec%202023%2011:14:21%20GMT	https://sz-vit.si/wp-content/uploads/2023/12/cropped-favicon_sz-vit-480x480.png	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/12/cropped-favicon_sz-vit-480x480.png	(from https://sz-vit.si/)
20:51:04	1313/1313	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Sep%202023%2010:53:40%20GMT	https://sz-vit.si/wp-content/uploads/2023/09/nav-log.svg	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/09/nav-log.svg	(from https://sz-vit.si/)
20:51:04	424/424	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Sep%202023%2007:54:27%20GMT	https://sz-vit.si/wp-content/themes/emigma/assets/icons/play_btn.png	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/themes/emigma/assets/icons/play_btn.png	(from https://sz-vit.si/)
20:51:04	621246/621246	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Oct%202023%2012:09:02%20GMT	https://sz-vit.si/wp-content/uploads/2023/10/Domaca-stran.jpg	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/10/Domaca-stran.jpg	(from https://sz-vit.si/)
20:51:04	163716/163716	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Oct%202023%2010:58:17%20GMT	https://sz-vit.si/wp-content/uploads/2023/10/sz_vit_certifikati.png	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/10/sz_vit_certifikati.png	(from https://sz-vit.si/)
20:51:05	361894/361894	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Oct%202023%2010:36:33%20GMT	https://sz-vit.si/wp-content/uploads/2023/09/2312063922062_photokranjec.jpg	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/09/2312063922062_photokranjec.jpg	(from https://sz-vit.si/)
20:51:05	438781/438781	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Oct%202023%2010:39:18%20GMT	https://sz-vit.si/wp-content/uploads/2023/10/5296906566276_img20220516095625.jpg	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/10/5296906566276_img20220516095625.jpg	(from https://sz-vit.si/)
20:51:05	153245/153245	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Oct%202023%2010:57:55%20GMT	https://sz-vit.si/wp-content/uploads/2023/10/sz_vit_reference.png	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/10/sz_vit_reference.png	(from https://sz-vit.si/)
20:51:05	93763/93763	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:05%20GMT	https://sz-vit.si/o-nas/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/o-nas/index.html	(from https://sz-vit.si/)
